ID	Label	Area	IntDen	AOD	level
68	I-3.png	6326876	2171728.705	0.343254507	positive
22	C-5.png	8804471	2962708.249	0.336500427	positive
25	C-8.png	7595913	2532644.539	0.333422005	positive
37	E-4.png	12547745	4172813.098	0.332554821	positive
53	G-4.png	8092493	2666962.341	0.329560043	positive
55	G-6.png	8809693	2887594.923	0.32777475	positive
70	I-5.png	12209783	3976983.774	0.325721086	positive
41	E-8.png	3599440	1164109.815	0.323414146	positive
40	E-7.png	8914207	2857539.796	0.320560179	positive
73	I-8.png	3974478	1248719.55	0.314184542	positive
52	G-3.png	11837808	3662262.335	0.309369972	positive
36	E-3.png	16593372	5103878.416	0.307585367	positive
4	A-3.png	3778425	1160046.492	0.307018531	positive
67	I-2.png	9317240	2853308.455	0.306239665	positive
24	C-7.png	6349709	1918724.747	0.302175225	positive
19	C-2.png	3328151	1002982.729	0.301363348	positive
8	A-7.png	4368256	1305965.828	0.298967329	positive
21	C-4.png	3741564	1117926.715	0.29878594	positive
71	I-6.png	10312454	3071504.824	0.297844221	positive
18	C-1.png	3058377	901043.584	0.294614949	moderate
50	G-1.png	5813090	1709652.417	0.294103896	moderate
7	A-6.png	6017391	1766016.761	0.293485459	moderate
3	A-2.png	4632914	1356010.291	0.292690581	moderate
6	A-5.png	2332653	677017.124	0.29023482	moderate
69	I-4.png	8197852	2369535.859	0.289043503	moderate
72	I-7.png	7436327	2144939.677	0.288440742	moderate
54	G-5.png	13296194	3773839.835	0.283828578	moderate
66	I-1.png	2728334	773360.928	0.283455372	moderate
39	E-6.png	5764549	1620751.343	0.281158395	low
35	E-2.png	3557318	994987.967	0.279701721	low
5	A-4.png	4205876	1166163.118	0.277269971	low
38	E-5.png	2263566	623118.243	0.275281676	low
20	C-3.png	6572026	1822212.479	0.277267996	low
57	G-8.png	2965146	821807.345	0.277155777	low
9	A-8.png	5009865	1386726.703	0.276799216	low
42	F-1.png	5309327	1461047.284	0.275185025	low
2	A-1.png	6854267	1865729.411	0.272199699	low
56	G-7.png	11108815	3008413.837	0.270813209	low
23	C-6.png	6439771	1742753.633	0.270623541	low
34	E-1.png	5281121	1388121.81	0.262846053	low
